# slot_index,mcs,tbs_bytes,needs_retx,retx_count,harq_id
0,25,21384,0,0,0
1,25,21384,0,0,1
2,25,21384,0,0,2
3,28,25456,0,0,3
4,25,21384,0,0,4
5,20,14112,0,0,5
6,20,14112,0,0,6
7,20,14112,0,0,7
8,28,25456,0,0,0
9,28,25456,0,0,1
10,20,14112,0,0,2
11,25,21384,0,0,3
12,28,25456,0,0,4
13,20,14112,0,0,5
14,25,21384,0,0,6
15,20,14112,0,0,7
16,25,21384,0,0,0
17,25,21384,0,0,1
18,20,14112,0,0,2
19,25,21384,1,1,3
20,20,14112,0,0,4
21,28,25456,0,0,5
22,20,14112,0,0,6
23,20,14112,0,0,7
24,25,21384,0,0,0
25,28,25456,0,0,1
26,28,25456,0,0,2
27,28,25456,0,0,3
28,28,25456,0,0,4
29,20,14112,0,0,5
30,25,21384,0,0,6
31,25,21384,0,0,7
32,25,21384,0,0,0
33,28,25456,0,0,1
34,20,14112,0,0,2
35,25,21384,0,0,3
36,25,21384,0,0,4
37,28,25456,0,0,5
38,25,21384,0,0,6
39,20,14112,0,0,7
40,20,14112,0,0,0
41,25,21384,0,0,1
42,25,21384,0,0,2
43,25,21384,0,0,3
44,20,14112,0,0,4
45,20,14112,0,0,5
46,20,14112,0,0,6
47,25,21384,0,0,7
48,28,25456,0,0,0
49,25,21384,0,0,1
50,28,25456,0,0,2
51,20,14112,0,0,3
52,20,14112,0,0,4
53,25,21384,0,0,5
54,25,21384,0,0,6
55,20,14112,0,0,7
56,25,21384,0,0,0
57,20,14112,0,0,1
58,25,21384,0,0,2
59,20,14112,0,0,3
60,28,25456,0,0,4
61,28,25456,0,0,5
62,20,14112,0,0,6
63,25,21384,0,0,7
64,20,14112,0,0,0
65,20,14112,0,0,1
66,20,14112,0,0,2
67,28,25456,0,0,3
68,28,25456,0,0,4
69,28,25456,0,0,5
70,25,21384,0,0,6
71,28,25456,0,0,7
72,25,21384,0,0,0
73,20,14112,0,0,1
74,25,21384,0,0,2
75,28,25456,0,0,3
76,20,14112,0,0,4
77,25,21384,0,0,5
78,20,14112,0,0,6
79,25,21384,0,0,7
80,25,21384,0,0,0
81,28,25456,0,0,1
82,20,14112,0,0,2
83,28,25456,0,0,3
84,20,14112,0,0,4
85,25,21384,0,0,5
86,28,25456,0,0,6
87,20,14112,0,0,7
88,25,21384,0,0,0
89,25,21384,0,0,1
90,25,21384,0,0,2
91,25,21384,0,0,3
92,28,25456,0,0,4
93,28,25456,0,0,5
94,28,25456,0,0,6
95,20,14112,0,0,7
96,20,14112,0,0,0
97,25,21384,0,0,1
98,20,14112,0,0,2
99,20,14112,0,0,3
100,28,25456,0,0,4
101,25,21384,0,0,5
102,25,21384,0,0,6
103,20,14112,0,0,7
104,25,21384,0,0,0
105,25,21384,0,0,1
106,25,21384,0,0,2
107,25,21384,0,0,3
108,25,21384,0,0,4
109,25,21384,0,0,5
110,20,14112,0,0,6
111,28,25456,0,0,7
112,25,21384,0,0,0
113,25,21384,0,0,1
114,25,21384,0,0,2
115,25,21384,0,0,3
116,28,25456,0,0,4
117,25,21384,0,0,5
118,25,21384,0,0,6
119,20,14112,0,0,7
120,20,14112,0,0,0
121,28,25456,0,0,1
122,25,21384,0,0,2
123,28,25456,0,0,3
124,25,21384,0,0,4
125,20,14112,0,0,5
126,20,14112,0,0,6
127,25,21384,0,0,7
128,25,21384,0,0,0
129,28,25456,0,0,1
130,25,21384,0,0,2
131,28,25456,0,0,3
132,25,21384,0,0,4
133,20,14112,0,0,5
