# slot_index,mcs,tbs_bytes,needs_retx,retx_count,harq_id
0,10,4584,0,0,0
1,15,7992,1,2,1
2,10,4584,0,0,2
3,15,7992,0,0,3
4,15,7992,1,1,4
5,15,7992,1,1,5
6,15,7992,0,0,6
7,15,7992,0,0,7
8,15,7992,0,0,0
9,15,7992,0,0,1
10,20,14112,1,1,2
11,20,14112,0,0,3
12,15,7992,0,0,4
13,20,14112,0,0,5
14,20,14112,0,0,6
15,20,14112,1,3,7
16,20,14112,0,0,0
17,25,21384,0,0,1
18,25,21384,0,0,2
19,25,21384,0,0,3
20,25,21384,0,0,4
21,20,14112,0,0,5
22,28,25456,0,0,6
23,20,14112,0,0,7
24,20,14112,0,0,0
25,20,14112,0,0,1
26,20,14112,0,0,2
27,25,21384,0,0,3
28,20,14112,0,0,4
29,15,7992,0,0,5
30,20,14112,0,0,6
31,25,21384,0,0,7
32,20,14112,0,0,0
33,25,21384,0,0,1
34,25,21384,0,0,2
35,20,14112,0,0,3
36,20,14112,0,0,4
37,20,14112,0,0,5
38,25,21384,0,0,6
39,20,14112,0,0,7
40,20,14112,0,0,0
41,15,7992,0,0,1
42,20,14112,0,0,2
43,15,7992,0,0,3
44,20,14112,0,0,4
45,15,7992,0,0,5
46,15,7992,1,2,6
47,15,7992,0,0,7
48,15,7992,0,0,0
49,10,4584,0,0,1
50,10,4584,0,0,2
51,10,4584,0,0,3
52,10,4584,0,0,4
53,10,4584,1,2,5
54,10,4584,0,0,6
55,10,4584,0,0,7
56,5,2280,1,2,0
57,10,4584,0,0,1
58,5,2280,0,0,2
59,10,4584,0,0,3
60,10,4584,1,2,4
61,0,712,0,0,5
62,5,2280,0,0,6
63,5,2280,1,2,7
64,5,2280,1,2,0
65,5,2280,0,0,1
66,5,2280,0,0,2
67,0,712,1,2,3
68,5,2280,1,1,4
69,5,2280,0,0,5
70,0,712,1,3,6
71,0,712,0,0,7
72,5,2280,0,0,0
73,5,2280,1,1,1
74,5,2280,0,0,2
75,5,2280,1,1,3
76,0,712,0,0,4
77,0,712,0,0,5
78,5,2280,0,0,6
79,0,712,0,0,7
80,5,2280,0,0,0
81,5,2280,0,0,1
82,5,2280,0,0,2
83,5,2280,0,0,3
84,5,2280,1,1,4
85,5,2280,0,0,5
86,5,2280,1,3,6
87,10,4584,0,0,7
88,5,2280,1,2,0
89,10,4584,0,0,1
90,5,2280,1,2,2
91,5,2280,1,2,3
92,5,2280,0,0,4
93,10,4584,0,0,5
94,10,4584,0,0,6
95,10,4584,0,0,7
96,10,4584,0,0,0
97,10,4584,0,0,1
98,10,4584,0,0,2
99,15,7992,0,0,3
100,15,7992,0,0,4
101,10,4584,1,3,5
102,15,7992,0,0,6
103,15,7992,0,0,7
104,10,4584,0,0,0
105,10,4584,0,0,1
106,15,7992,0,0,2
107,15,7992,0,0,3
108,15,7992,0,0,4
109,15,7992,0,0,5
110,15,7992,0,0,6
111,25,21384,0,0,7
112,20,14112,0,0,0
113,20,14112,0,0,1
114,20,14112,0,0,2
115,20,14112,0,0,3
116,20,14112,0,0,4
117,20,14112,0,0,5
118,20,14112,0,0,6
119,20,14112,0,0,7
120,20,14112,0,0,0
121,25,21384,0,0,1
122,25,21384,0,0,2
123,25,21384,0,0,3
124,20,14112,0,0,4
125,20,14112,0,0,5
126,25,21384,0,0,6
127,28,25456,0,0,7
128,20,14112,0,0,0
129,20,14112,0,0,1
130,20,14112,1,1,2
131,20,14112,0,0,3
132,25,21384,0,0,4
133,20,14112,0,0,5
134,25,21384,0,0,6
135,20,14112,0,0,7
136,20,14112,1,3,0
137,20,14112,0,0,1
138,20,14112,1,3,2
139,20,14112,1,1,3
140,15,7992,1,3,4
141,15,7992,0,0,5
142,20,14112,0,0,6
143,15,7992,0,0,7
144,15,7992,0,0,0
145,15,7992,0,0,1
146,20,14112,1,2,2
147,15,7992,0,0,3
148,15,7992,1,3,4
149,15,7992,1,1,5
150,10,4584,1,1,6
151,15,7992,0,0,7
152,10,4584,1,3,0
153,10,4584,0,0,1
154,10,4584,0,0,2
155,10,4584,0,0,3
156,5,2280,0,0,4
157,5,2280,0,0,5
158,5,2280,0,0,6
159,5,2280,0,0,7
160,5,2280,0,0,0
161,5,2280,0,0,1
162,5,2280,1,2,2
163,5,2280,1,1,3
164,5,2280,0,0,4
165,0,712,1,3,5
166,5,2280,0,0,6
167,5,2280,0,0,7
168,10,4584,0,0,0
169,5,2280,0,0,1
170,5,2280,0,0,2
171,5,2280,0,0,3
172,0,712,0,0,4
173,0,712,0,0,5
174,5,2280,1,1,6
175,0,712,0,0,7
176,0,712,0,0,0
177,5,2280,0,0,1
178,0,712,0,0,2
179,0,712,0,0,3
180,5,2280,0,0,4
181,5,2280,0,0,5
182,0,712,0,0,6
183,5,2280,0,0,7
184,0,712,0,0,0
185,5,2280,1,2,1
186,5,2280,0,0,2
187,5,2280,0,0,3
188,10,4584,0,0,4
189,10,4584,0,0,5
190,5,2280,0,0,6
191,5,2280,1,1,7
192,5,2280,0,0,0
193,5,2280,0,0,1
194,5,2280,1,1,2
195,10,4584,0,0,3
196,10,4584,0,0,4
197,10,4584,0,0,5
198,10,4584,0,0,6
199,10,4584,0,0,7
200,10,4584,0,0,0
201,10,4584,0,0,1
202,15,7992,0,0,2
203,15,7992,0,0,3
204,15,7992,0,0,4
205,15,7992,0,0,5
206,15,7992,0,0,6
207,20,14112,0,0,7
208,20,14112,0,0,0
209,15,7992,0,0,1
210,20,14112,0,0,2
211,15,7992,0,0,3
212,25,21384,0,0,4
213,20,14112,0,0,5
214,20,14112,0,0,6
215,20,14112,1,1,7
216,25,21384,0,0,0
217,25,21384,0,0,1
218,20,14112,0,0,2
219,20,14112,0,0,3
220,20,14112,0,0,4
221,20,14112,0,0,5
222,20,14112,0,0,6
223,20,14112,0,0,7
224,25,21384,0,0,0
225,20,14112,0,0,1
226,25,21384,0,0,2
227,20,14112,0,0,3
228,20,14112,0,0,4
229,15,7992,0,0,5
230,25,21384,0,0,6
231,15,7992,1,3,7
232,25,21384,0,0,0
233,20,14112,0,0,1
234,28,25456,0,0,2
235,20,14112,0,0,3
236,20,14112,0,0,4
237,20,14112,0,0,5
238,20,14112,0,0,6
239,20,14112,0,0,7
240,20,14112,0,0,0
241,20,14112,0,0,1
242,15,7992,0,0,2
243,15,7992,1,1,3
244,15,7992,0,0,4
245,15,7992,0,0,5
246,20,14112,0,0,6
247,15,7992,0,0,7
248,10,4584,0,0,0
249,15,7992,0,0,1
250,10,4584,0,0,2
251,10,4584,1,2,3
252,10,4584,0,0,4
253,10,4584,0,0,5
254,10,4584,0,0,6
255,10,4584,0,0,7
256,10,4584,0,0,0
257,10,4584,0,0,1
258,5,2280,0,0,2
259,10,4584,0,0,3
