# slot_index,mcs,tbs_bytes,needs_retx,retx_count,harq_id
0,4,233,0,0,6
1,4,233,0,0,2
2,4,233,0,0,6
3,4,233,0,0,2
4,4,233,0,0,6
5,8,453,0,0,2
6,8,453,0,0,6
7,8,453,0,0,2
8,8,453,0,0,6
9,6,333,0,0,2
10,6,333,0,0,6
11,8,453,0,0,2
12,8,453,0,0,6
13,6,333,0,0,2
14,6,333,0,0,6
15,13,736,0,0,2
16,13,736,0,0,6
17,6,333,0,0,2
18,6,333,0,0,6
19,6,333,0,0,2
20,6,333,0,0,6
21,8,453,0,0,2
22,8,453,0,0,6
23,8,453,0,0,2
24,8,453,0,0,6
25,8,453,0,0,2
26,8,453,0,0,6
27,11,560,0,0,2
28,16,40,0,0,3
29,11,560,0,0,2
30,11,560,0,0,6
31,8,453,0,0,2
32,8,453,0,0,6
33,8,453,0,0,2
34,8,453,0,0,6
35,8,453,0,0,2
36,8,453,0,0,6
37,8,453,0,0,2
38,8,453,0,0,6
39,8,453,0,0,2
40,8,453,0,0,6
41,6,333,0,0,2
42,6,333,0,0,6
43,6,333,0,0,2
44,6,333,0,0,6
45,4,233,0,0,2
46,4,233,0,0,6
47,11,560,0,0,2
48,11,560,0,0,6
49,6,333,0,0,2
50,6,333,0,0,6
51,4,233,0,0,2
52,4,233,0,0,6
53,6,333,0,0,2
54,6,333,0,0,6
55,6,333,0,0,2
56,6,333,0,0,6
57,6,333,0,0,2
58,6,333,0,0,6
59,6,333,0,0,2
60,6,333,0,0,6
61,11,560,0,0,2
62,11,560,0,0,6
63,8,453,0,0,2
64,16,40,0,0,3
65,8,453,0,0,2
66,8,453,0,0,6
67,8,453,0,0,2
68,8,453,0,0,6
69,8,453,0,0,2
70,8,453,0,0,6
71,6,333,0,0,2
72,6,333,0,0,6
73,6,333,0,0,2
74,6,333,0,0,6
75,8,453,0,0,2
76,8,453,0,0,6
77,4,233,0,0,2
78,4,233,0,0,6
79,6,333,0,0,2
80,6,333,0,0,6
81,4,233,0,0,2
82,4,233,0,0,6
83,6,333,0,0,2
84,6,333,0,0,6
85,4,233,0,0,8
86,4,233,0,0,2
87,2,145,0,0,8
88,2,145,0,0,2
89,8,453,0,0,8
90,8,453,0,0,8
91,2,145,0,0,2
92,2,145,0,0,8
93,2,145,0,0,6
94,2,145,0,0,8
95,4,233,0,0,6
96,4,233,0,0,8
97,11,560,0,0,6
98,11,560,0,0,2
99,4,233,0,0,8
100,4,233,0,0,2
101,8,453,0,0,8
102,8,453,0,0,2
103,8,453,0,0,8
104,8,453,0,0,2
105,13,736,0,0,8
106,13,736,0,0,6
107,8,453,0,0,2
108,8,453,0,0,8
109,8,453,0,0,2
110,8,453,0,0,8
111,8,453,0,0,2
112,8,453,0,0,8
113,8,453,0,0,2
114,8,453,0,0,8
115,8,453,0,0,2
116,8,453,0,0,8
117,8,453,0,0,2
118,8,453,0,0,8
119,8,453,0,0,2
120,8,453,0,0,8
121,8,453,0,0,2
122,8,453,0,0,8
123,11,560,0,0,2
124,11,560,0,0,8
125,11,560,0,0,6
126,11,560,0,0,8
127,13,736,0,0,6
128,13,736,0,0,8
129,6,333,0,0,6
130,6,333,0,0,1
131,6,333,0,0,6
132,6,333,0,0,1
133,6,333,0,0,6
134,6,333,0,0,1
135,8,453,0,0,6
136,8,453,0,0,1
137,6,333,0,0,6
138,6,333,0,0,1
139,6,333,0,0,6
140,6,333,0,0,1
141,8,453,0,0,6
142,8,453,0,0,1
143,8,453,0,0,6
