# slot_index,tbs_bytes
0,9
1,309
2,63
3,63
4,84
5,63
6,57
7,57
8,66
9,66
10,63
11,9
12,309
13,309
14,84
15,84
16,72
17,72
18,48
19,193
20,66
21,66
22,76
23,76
24,177
25,177
26,66
27,84
28,84
29,84
30,84
31,84
32,84
33,84
34,44
35,63
36,72
37,40
38,40
39,261
40,44
41,123
42,129
43,129
44,44
45,44
46,44
47,40
48,116
49,38
50,123
51,80
52,63
53,72
54,72
55,72
56,116
57,54
58,54
59,38
60,72
61,129
62,106
63,26
64,48
65,57
66,57
67,40
68,116
69,106
70,26
71,40
72,40
73,106
74,20
75,16
76,133
77,133
78,133
79,66
80,57
81,57
82,116
83,145
84,57
85,57
86,57
87,57
88,54
89,129
90,129
91,123
92,123
93,44
94,40
95,40
96,123
97,123
98,116
99,38
100,38
101,116
102,123
103,30
104,13
105,111
106,30
107,30
108,13
109,123
110,123
111,96
112,116
113,116
114,116
115,26
116,80
117,193
118,20
119,161
120,26
121,193
122,149
123,20
124,193
125,20
126,80
127,1024
128,1729
129,1537
130,816
131,1729
132,1537
133,1537
134,816
135,624
136,1057
137,1057
138,504
139,1729
140,301
141,80
142,800
143,1089
144,1185
145,640
146,1345
147,1185
148,1185
149,640
150,1024
151,1089
152,1729
153,816
154,1729
155,1729
156,1729
157,816
158,1024
159,1729
160,1537
161,816
162,1729
163,1537
164,1537
165,816
166,624
167,1057
168,1057
169,504
170,1057
171,1057
172,1057
173,504
174,1024
175,1729
176,1729
177,816
178,1729
179,1729
180,1729
181,816
182,1024
183,1729
184,1537
185,816
186,1729
187,1537
188,1537
189,816
190,1024
191,1729
192,1729
193,816
194,1729
195,1729
196,608
197,1024
198,1729
199,1537
200,1217
201,2049
202,2049
203,976
204,2049
205,2049
206,2049
207,976
208,1217
209,2049
210,2049
211,976
212,2049
213,2049
214,2049
215,976
216,624
217,1057
218,1057
219,504
220,1057
221,1057
222,1057
223,504
224,624
225,1057
226,1057
227,504
228,1057
229,1057
230,1057
231,504
232,1217
233,2049
234,2049
235,976
236,2049
237,2049
238,2433
239,1441
240,624
241,1441
242,624
243,1217
244,2049
245,1024
246,1729
247,1537
248,816
249,1729
250,1537
251,1537
252,1024
253,1729
254,1729
255,816
256,1729
257,1729
258,1729
259,816
260,1024
261,1729
262,1537
263,816
264,1729
265,1537
266,1537
267,816
268,1217
269,2049
270,2049
271,976
272,2049
273,1217
274,2049
275,1921
276,976
277,2049
278,1921
279,1217
280,2049
281,2049
282,976
283,2049
284,2049
285,2049
286,976
287,1217
288,2049
289,1921
290,976
291,2049
292,1921
293,1921
294,976
295,896
296,1537
297,1537
298,736
299,1537
300,1537
301,1537
302,736
303,896
304,1537
305,1345
306,736
307,624
308,1057
309,944
310,504
311,1057
312,944
313,944
314,504
315,896
316,1537
317,1537
318,736
319,1537
320,1537
321,1537
322,736
323,896
324,1249
325,1345
326,736
327,1537
328,1345
329,1345
330,736
331,1217
332,2049
333,2049
334,976
335,2049
336,2049
337,2049
338,976
339,1217
340,2049
341,1921
342,976
343,2049
344,720
